"STATISTIC Label","Year","Type of Cattle","Region and County","UNIT","VALUE"
"Number of Cattle in June","2016","Total cattle","Kilkenny","000 Head","362"
"Number of Cattle in June","2016","Total cattle","Wexford","000 Head","297.1"
"Number of Cattle in June","2016","Total cattle","Waterford","000 Head","268.8"
"Number of Cattle in June","2016","Total cattle","South-West","000 Head","1455.8"
"Number of Cattle in June","2016","Total cattle","Cork","000 Head","1105.5"
"Number of Cattle in June","2016","Total cattle","Kerry","000 Head","350.3"
"Number of Cattle in June","2016","Total cattle","Eastern and Midland","000 Head","1544.9"
"Number of Cattle in June","2016","Total cattle","Dublin","000 Head","23.2"
"Number of Cattle in June","2016","Total cattle","Dublin and Mid-East","000 Head","699.9"
"Number of Cattle in June","2016","Total cattle","Kildare","000 Head","141.4"
"Number of Cattle in June","2016","Total cattle","Louth","000 Head","88.9"
"Number of Cattle in June","2016","Total cattle","Meath","000 Head","320.5"
"Number of Cattle in June","2016","Total cattle","Wicklow","000 Head","125.9"
"Number of Cattle in June","2016","Total cattle","Midland","000 Head","845"
"Number of Cattle in June","2016","Total cattle","Laois","000 Head","252.8"
"Number of Cattle in June","2016","Total cattle","Longford","000 Head","117.2"
"Number of Cattle in June","2016","Total cattle","Offaly","000 Head","246"
"Number of Cattle in June","2016","Total cattle","Westmeath","000 Head","229"
"Number of Cattle in June","2016","Cows","State","000 Head","2501.6"
"Number of Cattle in June","2016","Cows","Northern and Western","000 Head","599"
"Number of Cattle in June","2016","Cows","Border","000 Head","288.1"
"Number of Cattle in June","2016","Cows","Leitrim","000 Head","27.8"
"Number of Cattle in June","2016","Cows","Sligo","000 Head","41.2"
"Number of Cattle in June","2016","Cows","Cavan","000 Head","84.9"
"Number of Cattle in June","2016","Cows","Donegal","000 Head","63"
"Number of Cattle in June","2016","Cows","Monaghan","000 Head","71.2"
"Number of Cattle in June","2016","Cows","West","000 Head","310.9"
"Number of Cattle in June","2016","Cows","Galway","000 Head","143.6"
"Number of Cattle in June","2016","Cows","Mayo","000 Head","100.2"
"Number of Cattle in June","2016","Cows","Roscommon","000 Head","67.1"
"Number of Cattle in June","2016","Cows","Southern","000 Head","1440.8"
"Number of Cattle in June","2016","Cows","Mid-West","000 Head","487.7"
"Number of Cattle in June","2016","Cows","Clare","000 Head","107.6"
"Number of Cattle in June","2016","Cows","Limerick","000 Head","156.1"
"Number of Cattle in June","2016","Cows","Tipperary","000 Head","224"
"Number of Cattle in June","2016","Cows","South-East","000 Head","356.7"
"Number of Cattle in June","2016","Cows","Carlow","000 Head","31.9"
"Number of Cattle in June","2016","Cows","Kilkenny","000 Head","117.4"
"Number of Cattle in June","2016","Cows","Wexford","000 Head","104.7"
"Number of Cattle in June","2016","Cows","Waterford","000 Head","102.7"
"Number of Cattle in June","2016","Cows","South-West","000 Head","596.4"
"Number of Cattle in June","2016","Cows","Cork","000 Head","445.7"
"Number of Cattle in June","2016","Cows","Kerry","000 Head","150.8"
"Number of Cattle in June","2016","Cows","Eastern and Midland","000 Head","461.7"
"Number of Cattle in June","2016","Cows","Dublin","000 Head","7.2"
"Number of Cattle in June","2016","Cows","Dublin and Mid-East","000 Head","215.7"
"Number of Cattle in June","2016","Cows","Kildare","000 Head","37.1"
"Number of Cattle in June","2016","Cows","Louth","000 Head","27.9"
"Number of Cattle in June","2016","Cows","Meath","000 Head","98.8"
"Number of Cattle in June","2016","Cows","Wicklow","000 Head","44.7"
"Number of Cattle in June","2016","Cows","Midland","000 Head","246.1"
"Number of Cattle in June","2016","Cows","Laois","000 Head","75.6"
"Number of Cattle in June","2016","Cows","Longford","000 Head","37.7"
"Number of Cattle in June","2016","Cows","Offaly","000 Head","63"
"Number of Cattle in June","2016","Cows","Westmeath","000 Head","69.8"
"Number of Cattle in June","2016","Dairy cows","State","000 Head","1397.9"
"Number of Cattle in June","2016","Dairy cows","Northern and Western","000 Head","164.9"
"Number of Cattle in June","2016","Dairy cows","Border","000 Head","104.8"
"Number of Cattle in June","2016","Dairy cows","Leitrim","000 Head","2"
"Number of Cattle in June","2016","Dairy cows","Sligo","000 Head","8.3"
"Number of Cattle in June","2016","Dairy cows","Cavan","000 Head","37.5"
"Number of Cattle in June","2016","Dairy cows","Donegal","000 Head","20.1"
"Number of Cattle in June","2016","Dairy cows","Monaghan","000 Head","36.9"
"Number of Cattle in June","2016","Dairy cows","West","000 Head","60.1"
"Number of Cattle in June","2016","Dairy cows","Galway","000 Head","34.2"
"Number of Cattle in June","2016","Dairy cows","Mayo","000 Head","18.4"
"Number of Cattle in June","2016","Dairy cows","Roscommon","000 Head","7.5"
"Number of Cattle in June","2016","Dairy cows","Southern","000 Head","1014.8"
"Number of Cattle in June","2016","Dairy cows","Mid-West","000 Head","307.5"
"Number of Cattle in June","2016","Dairy cows","Clare","000 Head","31.9"
"Number of Cattle in June","2016","Dairy cows","Limerick","000 Head","115.7"
"Number of Cattle in June","2016","Dairy cows","Tipperary","000 Head","159.8"
"Number of Cattle in June","2016","Dairy cows","South-East","000 Head","242.2"
"Number of Cattle in June","2016","Dairy cows","Carlow","000 Head","14.4"
"Number of Cattle in June","2016","Dairy cows","Kilkenny","000 Head","80.2"
"Number of Cattle in June","2016","Dairy cows","Wexford","000 Head","69.3"
"Number of Cattle in June","2016","Dairy cows","Waterford","000 Head","78.4"
"Number of Cattle in June","2016","Dairy cows","South-West","000 Head","465.1"
"Number of Cattle in June","2016","Dairy cows","Cork","000 Head","363"
"Number of Cattle in June","2016","Dairy cows","Kerry","000 Head","102.1"
"Number of Cattle in June","2016","Dairy cows","Eastern and Midland","000 Head","218.2"
"Number of Cattle in June","2016","Dairy cows","Dublin","000 Head","3.2"
"Number of Cattle in June","2016","Dairy cows","Dublin and Mid-East","000 Head","113.6"
"Number of Cattle in June","2016","Dairy cows","Kildare","000 Head","15.8"
"Number of Cattle in June","2016","Dairy cows","Louth","000 Head","15.5"
"Number of Cattle in June","2016","Dairy cows","Meath","000 Head","58.1"
"Number of Cattle in June","2016","Dairy cows","Wicklow","000 Head","21"
"Number of Cattle in June","2016","Dairy cows","Midland","000 Head","104.6"
"Number of Cattle in June","2016","Dairy cows","Laois","000 Head","40.2"
"Number of Cattle in June","2016","Dairy cows","Longford","000 Head","9.7"
"Number of Cattle in June","2016","Dairy cows","Offaly","000 Head","28.6"
"Number of Cattle in June","2016","Dairy cows","Westmeath","000 Head","26.2"
"Number of Cattle in June","2016","Other cows","State","000 Head","1103.7"
"Number of Cattle in June","2016","Other cows","Northern and Western","000 Head","434.1"
"Number of Cattle in June","2016","Other cows","Border","000 Head","183.3"
"Number of Cattle in June","2016","Other cows","Leitrim","000 Head","25.9"
"Number of Cattle in June","2016","Other cows","Sligo","000 Head","32.9"
"Number of Cattle in June","2016","Other cows","Cavan","000 Head","47.4"
"Number of Cattle in June","2016","Other cows","Donegal","000 Head","42.9"
"Number of Cattle in June","2016","Other cows","Monaghan","000 Head","34.3"
"Number of Cattle in June","2016","Other cows","West","000 Head","250.8"
"Number of Cattle in June","2016","Other cows","Galway","000 Head","109.5"
"Number of Cattle in June","2016","Other cows","Mayo","000 Head","81.8"
"Number of Cattle in June","2016","Other cows","Roscommon","000 Head","59.6"
"Number of Cattle in June","2016","Other cows","Southern","000 Head","426"
"Number of Cattle in June","2016","Other cows","Mid-West","000 Head","180.2"
"Number of Cattle in June","2016","Other cows","Clare","000 Head","75.7"
"Number of Cattle in June","2016","Other cows","Limerick","000 Head","40.3"
"Number of Cattle in June","2016","Other cows","Tipperary","000 Head","64.2"
"Number of Cattle in June","2016","Other cows","South-East","000 Head","114.5"
"Number of Cattle in June","2016","Other cows","Carlow","000 Head","17.5"
"Number of Cattle in June","2016","Other cows","Kilkenny","000 Head","37.2"
"Number of Cattle in June","2016","Other cows","Wexford","000 Head","35.4"
"Number of Cattle in June","2016","Other cows","Waterford","000 Head","24.3"
"Number of Cattle in June","2016","Other cows","South-West","000 Head","131.3"
"Number of Cattle in June","2016","Other cows","Cork","000 Head","82.7"
"Number of Cattle in June","2016","Other cows","Kerry","000 Head","48.7"
"Number of Cattle in June","2016","Other cows","Eastern and Midland","000 Head","243.6"
"Number of Cattle in June","2016","Other cows","Dublin","000 Head","4"
"Number of Cattle in June","2016","Other cows","Dublin and Mid-East","000 Head","102.1"
"Number of Cattle in June","2016","Other cows","Kildare","000 Head","21.4"
"Number of Cattle in June","2016","Other cows","Louth","000 Head","12.4"
"Number of Cattle in June","2016","Other cows","Meath","000 Head","40.7"
"Number of Cattle in June","2016","Other cows","Wicklow","000 Head","23.6"
"Number of Cattle in June","2016","Other cows","Midland","000 Head","141.5"
"Number of Cattle in June","2016","Other cows","Laois","000 Head","35.4"
"Number of Cattle in June","2016","Other cows","Longford","000 Head","28"
"Number of Cattle in June","2016","Other cows","Offaly","000 Head","34.4"
"Number of Cattle in June","2016","Other cows","Westmeath","000 Head","43.6"
"Number of Cattle in June","2016","Bulls","State","000 Head","56.3"
"Number of Cattle in June","2016","Bulls","Northern and Western","000 Head","18.1"
"Number of Cattle in June","2016","Bulls","Border","000 Head","8.5"
"Number of Cattle in June","2016","Bulls","Leitrim","000 Head","1"
"Number of Cattle in June","2016","Bulls","Sligo","000 Head","1.1"
"Number of Cattle in June","2016","Bulls","Cavan","000 Head","2.4"
"Number of Cattle in June","2016","Bulls","Donegal","000 Head","2.1"
"Number of Cattle in June","2016","Bulls","Monaghan","000 Head","1.9"
"Number of Cattle in June","2016","Bulls","West","000 Head","9.6"
"Number of Cattle in June","2016","Bulls","Galway","000 Head","4.3"
"Number of Cattle in June","2016","Bulls","Mayo","000 Head","3"
"Number of Cattle in June","2016","Bulls","Roscommon","000 Head","2.3"
"Number of Cattle in June","2016","Bulls","Southern","000 Head","27.6"
"Number of Cattle in June","2016","Bulls","Mid-West","000 Head","10.6"
"Number of Cattle in June","2016","Bulls","Clare","000 Head","3.5"
"Number of Cattle in June","2016","Bulls","Limerick","000 Head","2.9"
"Number of Cattle in June","2016","Bulls","Tipperary","000 Head","4.2"
"Number of Cattle in June","2016","Bulls","South-East","000 Head","6.6"
"Number of Cattle in June","2016","Bulls","Carlow","000 Head","0.8"
"Number of Cattle in June","2016","Bulls","Kilkenny","000 Head","2.2"
"Number of Cattle in June","2016","Bulls","Wexford","000 Head","1.9"
"Number of Cattle in June","2016","Bulls","Waterford","000 Head","1.7"
"Number of Cattle in June","2016","Bulls","South-West","000 Head","10.4"
"Number of Cattle in June","2016","Bulls","Cork","000 Head","7.4"
"Number of Cattle in June","2016","Bulls","Kerry","000 Head","3"
"Number of Cattle in June","2016","Bulls","Eastern and Midland","000 Head","10.6"
"Number of Cattle in June","2016","Bulls","Dublin","000 Head","0.1"
"Number of Cattle in June","2016","Bulls","Dublin and Mid-East","000 Head","4.5"
"Number of Cattle in June","2016","Bulls","Kildare","000 Head","1"
"Number of Cattle in June","2016","Bulls","Louth","000 Head","0.6"
"Number of Cattle in June","2016","Bulls","Meath","000 Head","1.8"
"Number of Cattle in June","2016","Bulls","Wicklow","000 Head","1.1"
"Number of Cattle in June","2016","Bulls","Midland","000 Head","6"
"Number of Cattle in June","2016","Bulls","Laois","000 Head","1.7"
"Number of Cattle in June","2016","Bulls","Longford","000 Head","1.2"
"Number of Cattle in June","2016","Bulls","Offaly","000 Head","1.5"
"Number of Cattle in June","2016","Bulls","Westmeath","000 Head","1.6"
"Number of Cattle in June","2016","Cattle: 2 years and over","State","000 Head","697.1"
"Number of Cattle in June","2016","Cattle: 2 years and over","Northern and Western","000 Head","174.2"
"Number of Cattle in June","2016","Cattle: 2 years and over","Border","000 Head","68.1"
"Number of Cattle in June","2016","Cattle: 2 years and over","Leitrim","000 Head","4.1"
"Number of Cattle in June","2016","Cattle: 2 years and over","Sligo","000 Head","11.2"
"Number of Cattle in June","2016","Cattle: 2 years and over","Cavan","000 Head","17.8"
"Number of Cattle in June","2016","Cattle: 2 years and over","Donegal","000 Head","14.2"
"Number of Cattle in June","2016","Cattle: 2 years and over","Monaghan","000 Head","20.8"
"Number of Cattle in June","2016","Cattle: 2 years and over","West","000 Head","106.1"
"Number of Cattle in June","2016","Cattle: 2 years and over","Galway","000 Head","51.9"
"Number of Cattle in June","2016","Cattle: 2 years and over","Mayo","000 Head","28.6"
"Number of Cattle in June","2016","Cattle: 2 years and over","Roscommon","000 Head","25.6"
"Number of Cattle in June","2016","Cattle: 2 years and over","Southern","000 Head","326.2"
"Number of Cattle in June","2016","Cattle: 2 years and over","Mid-West","000 Head","140.2"
"Number of Cattle in June","2016","Cattle: 2 years and over","Clare","000 Head","27.2"
"Number of Cattle in June","2016","Cattle: 2 years and over","Limerick","000 Head","42.4"
"Number of Cattle in June","2016","Cattle: 2 years and over","Tipperary","000 Head","70.5"
"Number of Cattle in June","2016","Cattle: 2 years and over","South-East","000 Head","85.4"
"Number of Cattle in June","2016","Cattle: 2 years and over","Carlow","000 Head","9.7"
"Number of Cattle in June","2016","Cattle: 2 years and over","Kilkenny","000 Head","32.5"
"Number of Cattle in June","2016","Cattle: 2 years and over","Wexford","000 Head","21.6"
"Number of Cattle in June","2016","Cattle: 2 years and over","Waterford","000 Head","21.6"
"Number of Cattle in June","2016","Cattle: 2 years and over","South-West","000 Head","100.6"
"Number of Cattle in June","2016","Cattle: 2 years and over","Cork","000 Head","77.1"
"Number of Cattle in June","2016","Cattle: 2 years and over","Kerry","000 Head","23.5"
"Number of Cattle in June","2016","Cattle: 2 years and over","Eastern and Midland","000 Head","196.7"
"Number of Cattle in June","2016","Cattle: 2 years and over","Dublin","000 Head","3.5"
"Number of Cattle in June","2016","Cattle: 2 years and over","Dublin and Mid-East","000 Head","95"
"Number of Cattle in June","2016","Cattle: 2 years and over","Kildare","000 Head","22.4"
"Number of Cattle in June","2016","Cattle: 2 years and over","Louth","000 Head","13"
"Number of Cattle in June","2016","Cattle: 2 years and over","Meath","000 Head","45.9"
"Number of Cattle in June","2016","Cattle: 2 years and over","Wicklow","000 Head","10.2"
"Number of Cattle in June","2016","Cattle: 2 years and over","Midland","000 Head","101.8"
"Number of Cattle in June","2016","Cattle: 2 years and over","Laois","000 Head","26.8"
"Number of Cattle in June","2016","Cattle: 2 years and over","Longford","000 Head","13.7"
"Number of Cattle in June","2016","Cattle: 2 years and over","Offaly","000 Head","30.5"
"Number of Cattle in June","2016","Cattle: 2 years and over","Westmeath","000 Head","30.8"
"Number of Cattle in June","2016","Cattle male: 2 years and over","State","000 Head","372.7"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Northern and Western","000 Head","77.5"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Border","000 Head","26.5"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Leitrim","000 Head","0.8"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Sligo","000 Head","4.2"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Cavan","000 Head","6.9"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Donegal","000 Head","5.5"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Monaghan","000 Head","9"
"Number of Cattle in June","2016","Cattle male: 2 years and over","West","000 Head","51"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Galway","000 Head","26.5"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Mayo","000 Head","12.5"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Roscommon","000 Head","12"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Southern","000 Head","190"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Mid-West","000 Head","85.8"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Clare","000 Head","14.5"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Limerick","000 Head","25.9"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Tipperary","000 Head","45.4"
"Number of Cattle in June","2016","Cattle male: 2 years and over","South-East","000 Head","50.2"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Carlow","000 Head","5.1"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Kilkenny","000 Head","21.2"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Wexford","000 Head","10.3"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Waterford","000 Head","13.6"
"Number of Cattle in June","2016","Cattle male: 2 years and over","South-West","000 Head","54.1"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Cork","000 Head","43.4"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Kerry","000 Head","10.7"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Eastern and Midland","000 Head","105.2"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Dublin","000 Head","1.3"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Dublin and Mid-East","000 Head","50.9"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Kildare","000 Head","14"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Louth","000 Head","6.7"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Meath","000 Head","24.4"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Wicklow","000 Head","4.4"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Midland","000 Head","54.3"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Laois","000 Head","16.1"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Longford","000 Head","7.4"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Offaly","000 Head","15.5"
"Number of Cattle in June","2016","Cattle male: 2 years and over","Westmeath","000 Head","15.3"
"Number of Cattle in June","2016","Cattle female: 2 years and over","State","000 Head","324.4"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Northern and Western","000 Head","96.8"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Border","000 Head","41.7"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Leitrim","000 Head","3.3"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Sligo","000 Head","7"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Cavan","000 Head","10.8"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Donegal","000 Head","8.7"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Monaghan","000 Head","11.8"
"Number of Cattle in June","2016","Cattle female: 2 years and over","West","000 Head","55.1"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Galway","000 Head","25.5"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Mayo","000 Head","16.1"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Roscommon","000 Head","13.6"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Southern","000 Head","136.1"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Mid-West","000 Head","54.4"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Clare","000 Head","12.8"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Limerick","000 Head","16.5"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Tipperary","000 Head","25.1"
"Number of Cattle in June","2016","Cattle female: 2 years and over","South-East","000 Head","35.2"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Carlow","000 Head","4.6"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Kilkenny","000 Head","11.3"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Wexford","000 Head","11.3"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Waterford","000 Head","8"
"Number of Cattle in June","2016","Cattle female: 2 years and over","South-West","000 Head","46.5"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Cork","000 Head","33.7"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Kerry","000 Head","12.8"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Eastern and Midland","000 Head","91.5"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Dublin","000 Head","2.2"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Dublin and Mid-East","000 Head","44"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Kildare","000 Head","8.4"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Louth","000 Head","6.3"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Meath","000 Head","21.5"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Wicklow","000 Head","5.7"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Midland","000 Head","47.5"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Laois","000 Head","10.7"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Longford","000 Head","6.3"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Offaly","000 Head","15.1"
"Number of Cattle in June","2016","Cattle female: 2 years and over","Westmeath","000 Head","15.5"
"Number of Cattle in June","2016","Cattle: 1-2 years","State","000 Head","1840.3"
"Number of Cattle in June","2016","Cattle: 1-2 years","Northern and Western","000 Head","437.7"
"Number of Cattle in June","2016","Cattle: 1-2 years","Border","000 Head","199.6"
"Number of Cattle in June","2016","Cattle: 1-2 years","Leitrim","000 Head","10.3"
"Number of Cattle in June","2016","Cattle: 1-2 years","Sligo","000 Head","26"
"Number of Cattle in June","2016","Cattle: 1-2 years","Cavan","000 Head","54.8"
"Number of Cattle in June","2016","Cattle: 1-2 years","Donegal","000 Head","49.5"
"Number of Cattle in June","2016","Cattle: 1-2 years","Monaghan","000 Head","59"
"Number of Cattle in June","2016","Cattle: 1-2 years","West","000 Head","238.1"
"Number of Cattle in June","2016","Cattle: 1-2 years","Galway","000 Head","114.3"
"Number of Cattle in June","2016","Cattle: 1-2 years","Mayo","000 Head","66.6"
"Number of Cattle in June","2016","Cattle: 1-2 years","Roscommon","000 Head","57.2"
"Number of Cattle in June","2016","Cattle: 1-2 years","Southern","000 Head","962.2"
"Number of Cattle in June","2016","Cattle: 1-2 years","Mid-West","000 Head","356.2"
"Number of Cattle in June","2016","Cattle: 1-2 years","Clare","000 Head","63.5"
"Number of Cattle in June","2016","Cattle: 1-2 years","Limerick","000 Head","105.2"
"Number of Cattle in June","2016","Cattle: 1-2 years","Tipperary","000 Head","187.5"
"Number of Cattle in June","2016","Cattle: 1-2 years","South-East","000 Head","276.9"
"Number of Cattle in June","2016","Cattle: 1-2 years","Carlow","000 Head","29.6"
"Number of Cattle in June","2016","Cattle: 1-2 years","Kilkenny","000 Head","101.6"
"Number of Cattle in June","2016","Cattle: 1-2 years","Wexford","000 Head","81.4"
"Number of Cattle in June","2016","Cattle: 1-2 years","Waterford","000 Head","64.3"
"Number of Cattle in June","2016","Cattle: 1-2 years","South-West","000 Head","329.2"
"Number of Cattle in June","2016","Cattle: 1-2 years","Cork","000 Head","258.7"
"Number of Cattle in June","2016","Cattle: 1-2 years","Kerry","000 Head","70.5"
"Number of Cattle in June","2016","Cattle: 1-2 years","Eastern and Midland","000 Head","440.4"
"Number of Cattle in June","2016","Cattle: 1-2 years","Dublin","000 Head","6.6"
"Number of Cattle in June","2016","Cattle: 1-2 years","Dublin and Mid-East","000 Head","195.5"
"Number of Cattle in June","2016","Cattle: 1-2 years","Kildare","000 Head","43.1"
"Number of Cattle in June","2016","Cattle: 1-2 years","Louth","000 Head","24.5"
"Number of Cattle in June","2016","Cattle: 1-2 years","Meath","000 Head","91.1"
"Number of Cattle in June","2016","Cattle: 1-2 years","Wicklow","000 Head","30.3"
"Number of Cattle in June","2016","Cattle: 1-2 years","Midland","000 Head","244.9"
"Number of Cattle in June","2016","Cattle: 1-2 years","Laois","000 Head","74"
"Number of Cattle in June","2016","Cattle: 1-2 years","Longford","000 Head","30.7"
"Number of Cattle in June","2016","Cattle: 1-2 years","Offaly","000 Head","77.8"
"Number of Cattle in June","2016","Cattle: 1-2 years","Westmeath","000 Head","62.4"
"Number of Cattle in June","2016","Cattle male: 1-2 years","State","000 Head","859.8"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Northern and Western","000 Head","199.4"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Border","000 Head","90.1"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Leitrim","000 Head","3.3"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Sligo","000 Head","11.2"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Cavan","000 Head","21.9"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Donegal","000 Head","25.8"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Monaghan","000 Head","27.9"
"Number of Cattle in June","2016","Cattle male: 1-2 years","West","000 Head","109.4"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Galway","000 Head","54"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Mayo","000 Head","29.2"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Roscommon","000 Head","26.2"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Southern","000 Head","448.9"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Mid-West","000 Head","175.6"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Clare","000 Head","31.1"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Limerick","000 Head","50.4"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Tipperary","000 Head","94.2"
"Number of Cattle in June","2016","Cattle male: 1-2 years","South-East","000 Head","134.2"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Carlow","000 Head","14.4"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Kilkenny","000 Head","53"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Wexford","000 Head","38.1"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Waterford","000 Head","28.7"
"Number of Cattle in June","2016","Cattle male: 1-2 years","South-West","000 Head","139"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Cork","000 Head","112.4"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Kerry","000 Head","26.6"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Eastern and Midland","000 Head","211.5"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Dublin","000 Head","2.8"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Dublin and Mid-East","000 Head","92.2"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Kildare","000 Head","22.8"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Louth","000 Head","10.5"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Meath","000 Head","43.5"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Wicklow","000 Head","12.6"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Midland","000 Head","119.3"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Laois","000 Head","40.1"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Longford","000 Head","14.8"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Offaly","000 Head","37.4"
"Number of Cattle in June","2016","Cattle male: 1-2 years","Westmeath","000 Head","27.2"
"Number of Cattle in June","2016","Cattle female: 1-2 years","State","000 Head","980.5"
"Number of Cattle in June","2016","Cattle female: 1-2 years","Northern and Western","000 Head","238.3"
"Number of Cattle in June","2016","Cattle female: 1-2 years","Border","000 Head","109.5"
"Number of Cattle in June","2016","Cattle female: 1-2 years","Leitrim","000 Head","7"
"Number of Cattle in June","2016","Cattle female: 1-2 years","Sligo","000 Head","14.8"
"Number of Cattle in June","2016","Cattle female: 1-2 years","Cavan","000 Head","32.9"
"Number of Cattle in June","2016","Cattle female: 1-2 years","Donegal","000 Head","23.7"
"Number of Cattle in June","2016","Cattle female: 1-2 years","Monaghan","000 Head","31.1"
"Number of Cattle in June","2016","Cattle female: 1-2 years","West","000 Head","128.8"
"Number of Cattle in June","2016","Cattle female: 1-2 years","Galway","000 Head","60.3"
"Number of Cattle in June","2016","Cattle female: 1-2 years","Mayo","000 Head","37.4"
"Number of Cattle in June","2016","Cattle female: 1-2 years","Roscommon","000 Head","31"
"Number of Cattle in June","2016","Cattle female: 1-2 years","Southern","000 Head","513.4"
"Number of Cattle in June","2016","Cattle female: 1-2 years","Mid-West","000 Head","180.6"
